도시,행정동코드,행정동명,연도,HIRI,위험등급,야간평균기온,열대야시간,야간냉각량,25도이하회복시간,녹지비율,불투수면비율,도로비율,건물밀도,인구
seoul,11160730,화곡1동,2024,100.0,매우 높음,14.0642,729,2.1137,1.1616,0.0103,0.5533,0.3561,0.2323,49795
seoul,11160580,화곡3동,2024,99.7288,매우 높음,14.0642,729,2.1137,1.1616,0.0333,0.6991,0.3354,0.6508,20744
seoul,11160630,화곡8동,2024,98.8752,매우 높음,14.0429,730,2.1637,1.1288,0.0761,0.6999,0.3533,0.7242,22750
seoul,11210780,은천동,2024,93.8777,매우 높음,13.9952,735,2.2752,1.0192,0.0723,0.6008,0.3213,0.7251,31863
seoul,11240710,잠실본동,2024,93.6529,매우 높음,14.0926,750,2.572,0.9178,0.0243,0.6101,0.3017,0.7513,27524
seoul,11160740,우장산동,2024,93.1452,매우 높음,14.0798,737,2.1978,1.1178,0.2168,0.5152,0.2395,0.3437,43428
seoul,11160540,등촌3동,2024,92.4545,매우 높음,14.0741,747,2.3095,1.0301,0.0419,0.6035,0.2844,0.243,29018
seoul,11140660,서교동,2024,91.1288,매우 높음,14.0098,733,2.4236,0.9205,0.019,0.7161,0.3745,0.6978,23761
seoul,11240580,방이2동,2024,90.1544,매우 높음,14.0926,750,2.572,0.9178,0.0303,0.6195,0.2887,0.5408,26121
seoul,11140710,연남동,2024,90.1082,매우 높음,14.0108,735,2.4332,0.9178,0.0534,0.7483,0.3921,0.7534,14106
seoul,11160670,발산1동,2024,89.0732,매우 높음,14.0805,738,2.2014,1.1014,0.1126,0.4634,0.227,0.222,35157
seoul,11050530,화양동,2024,89.0516,매우 높음,14.0926,750,2.572,0.9178,0.0722,0.5797,0.3192,0.5758,22880
seoul,11150520,목2동,2024,88.9337,매우 높음,13.9952,735,2.2752,1.0192,0.2686,0.5528,0.2782,0.827,28401
seoul,11150530,목3동,2024,88.9237,매우 높음,13.9958,735,2.2813,1.0137,0.0276,0.5828,0.3347,0.5427,20934
naju,36040610,빛가람동,2024,88.6165,매우 높음,15.2278,722,2.4189,1.191,0.1815,0.1913,0.1207,0.0524,40387
seoul,11160700,방화1동,2024,88.2259,매우 높음,14.0935,749,2.2716,1.0603,0.0635,0.3565,0.1886,0.0916,41479
busan,21070700,대연1동,2024,88.1611,매우 높음,16.5468,762,1.4318,1.6356,0.0517,0.4841,0.2372,0.5383,15226
seoul,11050560,중곡2동,2024,87.6677,매우 높음,13.9984,743,2.5971,0.9068,0.0012,0.7272,0.3915,0.3659,20172
seoul,11170700,가리봉동,2024,87.6643,매우 높음,13.9952,735,2.2752,1.0192,0.0,0.6336,0.3406,0.5675,8737
seoul,11230790,대치2동,2024,87.652,매우 높음,14.0926,750,2.572,0.9178,0.0398,0.4968,0.2557,0.3787,38311
seoul,11230640,역삼1동,2024,87.5087,매우 높음,14.0456,744,2.4477,0.9479,0.0171,0.5399,0.3066,0.3067,34216
seoul,11200550,상도3동,2024,87.0128,매우 높음,13.9952,735,2.2752,1.0192,0.1264,0.5591,0.303,0.5555,23641
seoul,11200560,상도4동,2024,86.9896,매우 높음,13.9952,735,2.2752,1.0192,0.2143,0.5583,0.2763,0.6046,28913
seoul,11150570,신월1동,2024,86.7732,매우 높음,14.0642,729,2.1137,1.1616,0.0115,0.4807,0.3497,0.0238,18934
seoul,11220540,서초4동,2024,86.611,매우 높음,14.0456,744,2.4477,0.9479,0.0264,0.5366,0.2534,0.4484,30253
seoul,11150580,신월2동,2024,86.4153,매우 높음,14.0598,732,2.1239,1.1616,0.0084,0.4593,0.292,0.0899,20561
seoul,11240630,석촌동,2024,86.3684,매우 높음,14.0926,750,2.572,0.9178,0.0706,0.5371,0.3312,0.2635,30392
seoul,11130700,남가좌2동,2024,86.0451,매우 높음,14.0108,735,2.4332,0.9178,0.0117,0.5385,0.2973,0.6303,28798
seoul,11150600,신월4동,2024,85.8658,매우 높음,14.0642,729,2.1137,1.1616,0.0174,0.4665,0.346,0.0312,17126
seoul,11150610,신월5동,2024,85.5181,매우 높음,14.0642,729,2.1137,1.1616,0.1828,0.5107,0.3145,0.2613,13887
