target,target_label,unit,model,train_r2,test_r2,test_mae,test_rmse,train_rows,test_rows,feature_count
HIRI_YEAR_FROM_DAILY,연간 HIRI,점,HistGradientBoosting,0.9887187829059447,0.9121425611156723,3.6419562349738923,5.111641163707593,3647,917,9
HIRI_YEAR_FROM_DAILY,연간 HIRI,점,ExtraTrees,0.9829272572744894,0.9098309421258957,3.7160335159882054,5.178450810465762,3647,917,9
HIRI_YEAR_FROM_DAILY,연간 HIRI,점,Ridge,0.9027150453930365,0.9076497668358743,3.7461553261937333,5.240709507455344,3647,917,9
cooling_amount_mean,야간 냉각량,℃,ExtraTrees,0.9627911722360957,0.927847221087615,0.16554586804880006,0.21610225261224558,3647,917,9
cooling_amount_mean,야간 냉각량,℃,HistGradientBoosting,0.9899515986441302,0.9194740903378471,0.17045203275450752,0.22829719869266688,3647,917,9
cooling_amount_mean,야간 냉각량,℃,Ridge,0.9094823569276484,0.8916252345242459,0.21164224588281885,0.2648480917168183,3647,917,9
night_temp_mean,야간 평균기온,℃,ExtraTrees,0.9942628007340628,0.9912564080755277,0.0773599376573926,0.11464952524979795,3647,917,9
night_temp_mean,야간 평균기온,℃,HistGradientBoosting,0.9984419359721574,0.9900478297016739,0.08275511591285395,0.12231683078237729,3647,917,9
night_temp_mean,야간 평균기온,℃,Ridge,0.9217600846405309,0.9172568553159789,0.278585348326575,0.3526901508002128,3647,917,9
night_tropical_hours,야간 열대야 시간,시간,ExtraTrees,0.9806997450848283,0.9709115885934201,13.07357270276522,18.069258523416828,3647,917,9
night_tropical_hours,야간 열대야 시간,시간,HistGradientBoosting,0.9909380377942696,0.9651260288830272,14.514983867469114,19.784771157983688,3647,917,9
night_tropical_hours,야간 열대야 시간,시간,Ridge,0.29707878437018764,0.3009619316294654,77.31791153977149,88.57899391078608,3647,917,9
recovery_failure_days,회복 실패일수,일,ExtraTrees,0.9905402814773371,0.9846550936283244,1.2320495561278277,1.751411707152451,3647,917,9
recovery_failure_days,회복 실패일수,일,HistGradientBoosting,0.9946887133432438,0.9823713524685523,1.3237835787284162,1.8772219522213385,3647,917,9
recovery_failure_days,회복 실패일수,일,Ridge,0.4151539689790765,0.41627687532526625,9.326675874813994,10.802134394217408,3647,917,9
tropical_hours,연간 열대야 시간,시간,ExtraTrees,0.9832315765378713,0.9741815267058078,26.378302100559008,38.97994007238241,3647,917,9
tropical_hours,연간 열대야 시간,시간,HistGradientBoosting,0.9924783726334379,0.9706153960847148,29.0922286868494,41.58491409986183,3647,917,9
tropical_hours,연간 열대야 시간,시간,Ridge,0.26571463374800774,0.2608130480908192,183.0459378714045,208.57057298660465,3647,917,9
